recon_loss,KL,disnt_basal,disnt_after,r2_mean,r2_var,adv_loss,penalty_adv,adv_perts,acc_perts,penalty_perts,epoch,mode
3987.8327840169272,,0.0,0.0,0.1318676918745041,0.024404925604661305,0.6280475929379463,0.1484102023144563,0.6280475929379463,0.6497446609040102,0.1484102023144563,0,train
2657.7015686035156,,0.0,0.0,0.38569096227486926,0.2495126985013485,0.4404347265760104,0.06609243263180058,0.4404347265760104,0.8758663112918535,0.06609243263180058,1,train
2438.7348836263022,,0.0,0.0,0.7365588483711084,0.5222175021966299,0.37207681064804393,0.017501169349998236,0.37207681064804393,0.8843600898981094,0.017501169349998236,2,train
2397.0502115885415,,0.0,0.0,0.9105351145068804,0.6776106096804142,0.3695562829573949,0.0117523237131536,0.3695562829573949,0.8677676121393839,0.0117523237131536,3,train
2399.7801920572915,,0.729003453207477,1.0,0.9223461747169495,0.5580464204152426,,,,,,4,valid
2375.0321146647134,,0.0,0.0,0.9384732519586881,0.7272866169611613,0.35550767680009204,0.009697823125558594,0.35550767680009204,0.8639820913473765,0.009697823125558594,4,train
2359.7234802246094,,0.0,0.0,0.9467635725935301,0.7560178761680921,0.32966141651074093,0.007846486968143532,0.32966141651074093,0.8680906817317009,0.007846486968143532,5,train
2349.9367065429688,,0.0,0.0,0.9514573030173779,0.7681090173621973,0.3186367067197959,0.0063890202436596155,0.3186367067197959,0.8704219485322634,0.0063890202436596155,6,train
2343.066121419271,,0.0,0.0,0.9550675563514233,0.7731532553831736,0.30766765773296356,0.005405705150527258,0.30766765773296356,0.8731974562009176,0.005405705150527258,7,train
2337.401336669922,,0.0,0.0,0.9591064527630806,0.7784193654855093,0.3044215999543667,0.004706278443336487,0.3044215999543667,0.8763170093297958,0.004706278443336487,8,train
2342.0662434895835,,0.7080987441140922,1.0,0.9578472773234049,0.7332734763622284,,,,,,9,valid
2332.4900105794272,,0.0,0.0,0.96218745286266,0.7816687424977621,0.3001536565522353,0.00405641242590112,0.3001536565522353,0.8736142267783483,0.00405641242590112,9,train
2328.489471435547,,0.0,0.0,0.9651613843937715,0.784501638263464,0.3109079835315545,0.0035167856161327413,0.3109079835315545,0.8705321475863457,0.0035167856161327413,10,train
2324.2506815592446,,0.0,0.0,0.9674340523779392,0.7880150290826956,0.3019777238368988,0.0030595028947573155,0.3019777238368988,0.874466227988402,0.0030595028947573155,11,train
2320.5442708333335,,0.0,0.0,0.9695142519970735,0.7894090078771114,0.30431053911646205,0.0026206313147364804,0.30431053911646205,0.875702939927578,0.0026206313147364804,12,train
2317.0605672200522,,0.0,0.0,0.9706576069196066,0.7919902466237545,0.31374090413252514,0.0023372944754858813,0.31374090413252514,0.8692383170127869,0.0023372944754858813,13,train
2319.1796875,,0.7001301214283284,1.0,0.9744164148966471,0.7870204548041025,,,,,,14,valid
2313.8582458496094,,0.0,0.0,0.9718455945452055,0.7940136976540089,0.3185701382656892,0.0020876269506212943,0.3185701382656892,0.8689331685503324,0.0020876269506212943,14,train
2310.5159912109375,,0.0,0.0,0.9722460632522901,0.7942126008371512,0.32602396110693616,0.0018054796091746539,0.32602396110693616,0.8628474970658621,0.0018054796091746539,15,train
2306.7107137044272,,0.0,0.0,0.9727793460090955,0.796435167392095,0.3313158042728901,0.0015550923271803185,0.3313158042728901,0.8629824568827947,0.0015550923271803185,16,train
2304.024658203125,,0.0,0.0,0.9731731836994489,0.7974553120632967,0.3342302938302358,0.0013775800956257929,0.3342302938302358,0.857280413309733,0.0013775800956257929,17,train
2300.850840250651,,0.0,0.0,0.9726876939336458,0.8006224520504475,0.3410690153638522,0.001213109353557229,0.3410690153638522,0.8538004979491234,0.001213109353557229,18,train
2315.8522135416665,,0.6875368744787433,0.9999799438427598,0.9760295152664185,0.7986215551694235,,,,,,19,valid
2297.9432271321616,,0.0,0.0,0.9735948294401169,0.7990788718064626,0.343232615540425,0.0010853700950974599,0.343232615540425,0.8536335403720537,0.0010853700950974599,19,train
2294.976735432943,,0.0,0.0,0.9737510234117508,0.8010157905519009,0.3440212073425452,0.000940269987040665,0.3440212073425452,0.8509531319141388,0.000940269987040665,20,train
2291.7276000976562,,0.0,0.0,0.9735994910200437,0.8013487495481968,0.34906893223524094,0.0008823707224413132,0.34906893223524094,0.8525329555074374,0.0008823707224413132,21,train
2288.9670613606772,,0.0,0.0,0.9738421986500422,0.8007262932757536,0.34978528320789337,0.0007630006924349194,0.34978528320789337,0.8503061582644781,0.0007630006924349194,22,train
2285.988972981771,,0.0,0.0,0.9742315746843815,0.8031619278093179,0.35459357624252635,0.0007009176042629406,0.35459357624252635,0.8484462996323904,0.0007009176042629406,23,train
2315.7378743489585,,0.6772811390509417,0.9999799438427598,0.9751721123854319,0.8205373485883077,,,,,,24,valid
2283.555653889974,,0.0,0.0,0.973777590940396,0.8032018455366293,0.36171115934848785,0.0006212632991567565,0.36171115934848785,0.8431220551331838,0.0006212632991567565,24,train
2280.8928019205728,,0.0,0.0,0.9739539884030819,0.8030543066561222,0.3621688795586427,0.0005650674041438227,0.3621688795586427,0.8429204995433489,0.0005650674041438227,25,train
2278.513702392578,,0.0,0.0,0.9740059114992619,0.8039467297494411,0.36092599605520564,0.0004910323029131783,0.36092599605520564,0.8434983864426613,0.0004910323029131783,26,train
2276.353830973307,,0.0,0.0,0.9742490015923977,0.8045893063147863,0.36902108540137607,0.00043654005276039243,0.36902108540137607,0.8381669595837593,0.00043654005276039243,27,train
