recon_loss,KL,disnt_basal,disnt_after,r2_mean,r2_var,adv_loss,penalty_adv,adv_perts,acc_perts,penalty_perts,epoch,mode
8765.204072840073,,0.0,0.0,-0.896201464237101,0.03174508987293342,5.561204854179831,1.4202614473361594,5.561204854179831,0.003825746184470607,1.4202614473361594,0,train
3692.852419385723,,0.0,0.0,0.4770179645566077,0.11347176327071146,5.559081049526439,0.059965506196022034,5.559081049526439,0.004297991633625226,0.059965506196022034,1,train
2809.58394129136,,0.0,0.0,0.8830213053277289,0.11980102008583744,5.5494958466174555,0.012225334340816034,5.5494958466174555,0.004442694390936773,0.012225334340816034,2,train
2756.9249387254904,,0.0,0.0,0.9291999586637121,0.12264082868742689,5.543373678244796,0.0031761829124982745,5.543373678244796,0.004573743486795209,0.0031761829124982745,3,train
2790.3707275390625,,0.12838792237810412,0.9899551066217733,0.9038956327871843,0.2026547762480649,,,,,,4,valid
2739.360701018689,,0.0,0.0,0.9385287876844072,0.12525560608536138,5.53422399595672,0.0009422159705804113,5.53422399595672,0.004262762711447317,0.0009422159705804113,4,train
2729.1911860447303,,0.0,0.0,0.9429760181660192,0.13167793443693945,5.5260366458518835,0.0003112664205985436,5.5260366458518835,0.004612747059368035,0.0003112664205985436,5,train
2720.9501713771447,,0.0,0.0,0.9462798273388515,0.13847088629886195,5.517122539819455,0.00011008657476814537,5.517122539819455,0.004360283693006518,0.00011008657476814537,6,train
2713.5722847732845,,0.0,0.0,0.9484856648506345,0.1465674941559596,5.512676482107125,4.0006633378866624e-05,5.512676482107125,0.0045250113711089775,4.0006633378866624e-05,7,train
2709.104865579044,,0.0,0.0,0.9501543177373647,0.15109225557964603,5.503326911552279,1.4206000955977396e-05,5.503326911552279,0.005123987857836718,1.4206000955977396e-05,8,train
2682.283447265625,,0.14028993162148695,0.982993524993525,0.9607993255962025,0.24756904894655402,,,,,,9,valid
2704.2561801087622,,0.0,0.0,0.9519951510892913,0.15874176930963388,5.494769545162425,4.916671844280334e-06,5.494769545162425,0.005445581338112699,4.916671844280334e-06,9,train
2700.6356416590074,,0.0,0.0,0.9523680375579499,0.16366953642150803,5.485749010946236,1.590622214369468e-06,5.485749010946236,0.0053457065471721925,1.590622214369468e-06,10,train
2697.717658547794,,0.0,0.0,0.9534557486306017,0.16437100936243998,5.479159411262064,5.724752006298171e-07,5.479159411262064,0.005420397843836862,5.724752006298171e-07,11,train
2696.8775993795957,,0.0,0.0,0.9538464900405575,0.1659321785856812,5.4776965403089335,2.4086603435962925e-07,5.4776965403089335,0.005478340335756394,2.4086603435962925e-07,12,train
2695.7245232077207,,0.0,0.0,0.9543274805397731,0.169518897213146,5.469271622452081,1.0045907259000962e-07,5.469271622452081,0.006102150301540307,1.0045907259000962e-07,13,train
2645.5211181640625,,0.14125759687600561,0.963636559936716,0.9790957190773704,0.23085147413340482,,,,,,14,valid
2694.5131596583947,,0.0,0.0,0.9540404128811948,0.1689362613889518,5.463542433346019,3.972450943353699e-08,5.463542433346019,0.006987509559657352,3.972450943353699e-08,14,train
2693.4697313495712,,0.0,0.0,0.9541921049447252,0.17042190927053646,5.461523598315669,1.536438388281253e-08,5.461523598315669,0.006137811268369357,1.536438388281253e-08,15,train
2692.546946806066,,0.0,0.0,0.9548391948262372,0.17067620696444163,5.455874798344631,5.8283175214162284e-09,5.455874798344631,0.0059074294141621565,5.8283175214162284e-09,16,train
2691.650093826593,,0.0,0.0,0.9548048146658735,0.17305412452138755,5.45053674660477,2.1694250187126127e-09,5.45053674660477,0.006671793302338498,2.1694250187126127e-09,17,train
2689.8347311580883,,0.0,0.0,0.9553211498673931,0.17342993773948379,5.44330898920695,8.999442612691327e-10,5.44330898920695,0.006526807638104348,8.999442612691327e-10,18,train
2638.4912109375,,0.14179585115583337,0.9721530182038353,0.979181942614642,0.24968203902244568,,,,,,19,valid
2688.841447418811,,0.0,0.0,0.9557464541964211,0.17142049950020777,5.442098851297416,4.1706419690361724e-10,5.442098851297416,0.006926630838208047,4.1706419690361724e-10,19,train
2688.060661764706,,0.0,0.0,0.9561825106311624,0.17420425622296773,5.433833075504677,2.9513849330162376e-10,5.433833075504677,0.007386000995871191,2.9513849330162376e-10,20,train
2687.397322112439,,0.0,0.0,0.9558687592841747,0.17284274423412396,5.428149213977888,3.853137221052888e-10,5.428149213977888,0.007671718732179964,3.853137221052888e-10,21,train
2686.3148073682596,,0.0,0.0,0.9565399763558675,0.17698412028054264,5.4239236700768565,3.3654877455141836e-10,5.4239236700768565,0.007146303354780756,3.3654877455141836e-10,22,train
2684.8216768152574,,0.0,0.0,0.9564258806884527,0.17615157800948741,5.419285652684231,3.8873814992176414e-10,5.419285652684231,0.007523612368066667,3.8873814992176414e-10,23,train
2629.121826171875,,0.14632783263361404,0.978704487750683,0.9816703958944841,0.2838074619119818,,,,,,24,valid
2683.901515586703,,0.0,0.0,0.9571078371710763,0.17863506412290353,5.411686897277832,4.683769785417206e-10,5.411686897277832,0.008148632884281231,4.683769785417206e-10,24,train
2682.6409170113357,,0.0,0.0,0.9572418591948547,0.17965824049480483,5.411540742013969,5.540895242628352e-10,5.411540742013969,0.00818325974521976,5.540895242628352e-10,25,train
2682.325511259191,,0.0,0.0,0.9570187266139965,0.1819296395777577,5.403685868955126,5.498087132630381e-10,5.403685868955126,0.008125637584895479,5.498087132630381e-10,26,train
2680.531685623468,,0.0,0.0,0.9572697245623714,0.18044250852187282,5.396631194095986,5.840893504155071e-10,5.396631194095986,0.008296297557250249,5.840893504155071e-10,27,train
